grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
45-49,183,45-49_115,81,40-44_115,93,0.020886091275421542
60-64,33,30-34_221,89,45-49_221,37,0.0004931887727495243
60-64,33,45-49_115,81,40-44_221,68,0.007563019305737121
60-64,33,35-39_114,21,30-34_221,80,0.004931725342912054
60-64_115,26,45-49_115,81,>65,49,0.019136743690075158
30-34_115,99,<25,47,114,55,0.031330564688729495
50-54,80,35-39_221,88,35-39_221,92,0.013706430864252201
50-54,80,30-34,223,35-39_115,132,2.969993649538402e-07
25-29_221,28,45-49_115,81,<25,59,0.03313780114132074
30-34_115,99,50-54,74,50-54,75,0.0038585148861305057
50-54_115,50,55-59,28,<25,59,0.0381370868650877
50-54_115,50,45-49_221,53,25-29,110,0.015566073207588248
60-64,33,35-39_115,110,Others,113,0.000252448864771502
40-44_114,24,25-29,120,40-44_221,68,0.03203186470927074
60-64,33,<25,47,30-34_115,80,0.005938188945608495
60-64,33,25-29_221,33,<25,59,0.004489751889098168
45-49,183,110,102,35-39_221,92,0.005426293362347365
60-64,33,35-39_115,110,>65,49,0.0005937185671010851
60-64_115,26,35-39_221,88,114,55,0.01529019501344941
60-64_115,26,50-54,74,30-34_221,80,0.009179768805366466
50-54_115,50,50-54,74,110,96,0.013520648378450191
